,,,A,C,D,E,F,H,I,M,Cluster,CON21,C. elegans,Fly/CON21,Fly,,Fly Gene Name,Fly Gene Description,DBD Family,Mosquito,Human,Mouse,Honeybee,Zebrafish,Silkworm
LOC124188311,XP_046436815.1,wolframin-like,480,1494,3595,1704,2063,864,1125,858,,g2019,,FBgn0039003,FBpp0291996,FBgn0039003,wfs1,wolfram syndrome 1,,XP_021713260.1,ENSP00000507852.1,ENSMUSP00000048053.7,XP_625196.1,ENSDARP00000124957.1,XP_004922074.1
LOC124188312,XP_046436816.1,von Willebrand factor A domain-containing protein 5A-like,86,237,804,444,1191,1138,777,822,,,,,,,,,,,ENSP00000407726.2,,,,
LOC124188313,XP_046436817.1,von Willebrand factor A domain-containing protein 5A-like,4,25,234,24,155,10,5,133,,g2016,F25H9.3.1,FBgn0261041,,,stj,straightjacket,,,,,,,
LOC124188314,XP_046436820.1,influenza virus NS1A-binding protein homolog isoform X1,5252,16091,30283,9976,15821,6975,8264,8018,,g2047,R09A8.3.2,FBgn0040230,,,dbo,diablo,,XP_021706152.1,,,,,
LOC124188316,XP_046436825.1,cyclic nucleotide-gated cation channel subunit A-like,1,7,111,97,367,44,42,67,,g2014,ZC84.2.1,FBgn0261612,FBpp0292051,FBgn0261612,CngA,Cyclic nucleotide-gated ion channel subunit A,,XP_021701845.1,ENSP00000410070.2,ENSMUSP00000142175.2,,ENSDARP00000148973.1,XP_037869482.1
LOC124188317,XP_046436826.1,probable peroxisomal acyl-coenzyme A oxidase 1,454,1306,3206,1574,2627,694,796,791,,g2044,,FBgn0027572,,,CG5009,0,,,,,,,
LOC124188318,XP_046436827.1,probable peroxisomal acyl-coenzyme A oxidase 1,26,223,421,535,3519,379,242,539,,g2043,F08A8.1a.2,,,,,,,,ENSP00000301608.4,ENSMUSP00000072717.5,,ENSDARP00000049225.6,
LOC124188319,XP_046436829.1,uncharacterized protein LOC124188319 isoform X2,2826,6242,14264,5521,7292,3683,3392,2560,,g2036,,FBgn0031322,,,CG5001,0,,,,,,,
LOC124188320,XP_046436830.1,SUMO-activating enzyme subunit 2-like,2836,8380,10073,2564,2374,975,1544,1486,,g2037,W02A11.4.1,FBgn0029113,FBpp0076457,FBgn0029113,Uba2,Ubiquitin-like activating enzyme 2,,XP_021700868.1,ENSP00000246548.3,ENSMUSP00000099807.5,XP_006564548.1,ENSDARP00000130924.1,XP_004932936.1
LOC124188321,XP_046436831.1,uncharacterized protein LOC124188321,0,2,213,146,239,65,12,15,,,C24B9.7.1,,,,,,,,,,,,
LOC124188322,XP_046436833.1,uncharacterized protein LOC124188322 isoform X1,0,13,478,621,2655,889,962,1235,,g2030,,FBgn0032079,,,CG31886,0,,XP_021700255.1,,,,,
LOC124188323,XP_046436836.1,alpha-protein kinase 1-like isoform X2,81,537,587,164,2885,348,448,319,,g2042,,FBgn0041629,,,Hexo2,Hexosaminidase 2,,,,,,,
LOC124188324,XP_046436838.1,uncharacterized protein LOC124188324,171,874,3394,1696,3484,1078,741,587,,g2011,,FBgn0031773,,,Fbw5,F-box and WD repeat domain containing 5,,,,,,,
LOC124188325,XP_046436839.1,TBC1 domain family member 22B-like,568,1610,3614,1418,1526,1289,741,669,,g2027,F32B6.8b.1,FBgn0038855,FBpp0083411,FBgn0038855,CG5745,0,,XP_021713382.1,ENSP00000362590.3,ENSMUSP00000046877.8,XP_394268.3,ENSDARP00000147677.1,XP_004928991.1
LOC124188326,XP_046436840.1,vacuolar fusion protein CCZ1 homolog,193,381,1002,380,573,212,148,251,,g2012,F58G11.6.1,FBgn0035470,FBpp0073036,FBgn0035470,Ccz1,"Caffeine, calcium, zinc sensitivity 1",,XP_001660442.2,ENSP00000325681.6,ENSMUSP00000031621.10,XP_625000.3,ENSDARP00000073520.5,XP_004932176.1
LOC124188327,XP_046436841.1,alpha-(1%2C3)-fucosyltransferase C-like,25,70,488,871,347,599,917,387,,g2048,,FBgn0044872,,,FucTC,"alpha1,3-fucosyltransferase C",,,,,,,
LOC124188328,XP_046436842.1,uncharacterized protein LOC124188328,138,1000,3217,1319,2843,1267,731,404,,g2033,,FBgn0032079,,,CG31886,0,,,,,,,XP_012549994.1
LOC124188329,XP_046436843.1,peptide chain release factor 1-like%2C mitochondrial,167,533,1500,577,620,213,169,222,,g2025,W03F8.3a.1,FBgn0032486,FBpp0080024,FBgn0032486,mRF1,mitochondrial translation release factor 1,,XP_001663262.1,ENSP00000356202.5,ENSMUSP00000019908.9,XP_006567864.2,ENSDARP00000131149.1,NP_001040455.1
LOC124188330,XP_046436844.1,uncharacterized protein LOC124188330,1,5,260,346,448,151,72,51,,g2046,,FBgn0011604,,,Iswi,Imitation SWI,,XP_021696125.1,,,,,
LOC124188331,XP_046436845.1,S-phase kinase-associated protein 2-like,1669,1274,1125,212,230,97,167,1257,,g2024,F48E8.7a.1,FBgn0037236,FBpp0078593,FBgn0037236,Skp2,S-phase kinase-associated protein 2,,XP_001650323.1,ENSP00000274255.6,ENSMUSP00000094225.4,XP_006557766.1,ENSDARP00000146442.1,XP_004922169.1
LOC124188332,XP_046436846.1,uncharacterized protein LOC124188332,0,26,1473,927,2474,549,432,418,,g2045,,FBgn0030360,FBpp0073418,FBgn0030360,CG1806,0,,XP_021694230.1,ENSP00000242729.2,ENSMUSP00000032383.8,XP_006568710.1,ENSDARP00000061188.4,
LOC124188333,XP_046436847.1,uncharacterized protein LOC124188333,4,20,153,347,1595,737,531,216,,g2031,,FBgn0037039,,,CG10587,0,,,,,,ENSDARP00000114560.1,
LOC124188334,XP_046436848.1,uncharacterized protein LOC124188334,242,770,1748,1437,1690,1812,1841,584,,g2032,,FBgn0002565,,,Lsp2,Larval serum protein 2,,,,,,,
LOC124188335,XP_046436850.1,enoyl-CoA delta isomerase 2-like,129,746,3031,1734,2216,702,474,486,,g2038,,FBgn0035169,,,Dci,Dodecenoyl-CoA delta-isomerase,,,,,,,
LOC124188337,XP_046436854.1,outer dense fiber protein 3-like isoform X1,16,202,2073,3296,8760,1598,1848,1433,,g2017,,FBgn0032010,,,CG8086,0,,,,,,,
LOC124188338,XP_046436857.1,cyanocobalamin reductase / alkylcobalamin dealkylase-like,56,401,842,297,350,163,130,97,,g2026,ZK546.17.1,FBgn0036336,,,ste14,isoprenylcysteine carboxylmethyltransferase,,,ENSP00000383840.4,ENSMUSP00000030453.5,,ENSDARP00000117903.1,
LOC124188339,XP_046436858.1,uncharacterized protein LOC124188339 isoform X1,28,24,79,35,140,25,32,190,,g2015,,FBgn0011554,,,etaTry,etaTrypsin,,,,,,,
LOC124188340,XP_046436860.1,MICOS complex subunit Mic19-like,501,1513,4777,2695,4770,1224,1242,708,,g2035,,FBgn0010808,FBpp0085107,FBgn0010808,Chchd3,Coiled-coil-helix-coiled-coil-helix domain containing 3,,XP_001648362.2,ENSP00000262570.5,ENSMUSP00000121589.2,XP_624132.1,ENSDARP00000095647.3,XP_004926237.1
LOC124188341,XP_046436861.1,apolipoprotein D-like isoform X1,15,99,483,287,693,301,235,169,,,,,,,,,,,,,,,
LOC124188342,XP_046436863.1,acyl carrier protein%2C mitochondrial-like,1608,5482,14982,8872,15666,3314,2909,2161,,g2013,Y56A3A.19.1,FBgn0011361,FBpp0072569,FBgn0011361,ND-ACP,NADH dehydrogenase (ubiquinone) acyl carrier protein,,XP_001660948.1,ENSP00000458770.1,ENSMUSP00000116177.2,XP_016766948.1,ENSDARP00000148152.1,NP_001040477.1
LOC124188343,XP_046436864.1,coiled-coil-helix-coiled-coil-helix domain-containing protein 7-like,19,154,635,281,379,122,113,57,,,,,FBpp0311796,FBgn0040634,CG4186,0,,XP_021696527.1,ENSP00000428917.1,ENSMUSP00000118311.2,XP_026298356.1,ENSDARP00000124392.1,XP_004922524.1
LOC124188344,XP_046436865.1;transl_except=(pos:4258170..4258172%2Caa:Other),LOW QUALITY PROTEIN: ubiquitin-associated protein 1-like,396,1205,2788,1244,2073,700,650,498,,,,,,,,,,,,,,,
LOC124188349,XP_046436866.1,A disintegrin and metalloproteinase with thrombospondin motifs 18-like isoform X1,162,2255,5545,4208,23939,5076,4870,3264,,g1483,F57B7.4.1,FBgn0034903,FBpp0288559,FBgn0034903,sona,sol narae,,XP_021705212.1,,,XP_016771623.2,,XP_037873780.1
LOC124188350,XP_046436870.1,sialin-like,2,8,202,324,1395,403,337,373,,g1485,,FBgn0038799,,,MFS9,Major Facilitator Superfamily Transporter 9,,,,,,,
LOC124188351,XP_046436871.1,sialin-like,1,5,27,106,755,166,149,126,,g1486,,FBgn0028513,,,CG9254,0,,,,,,,
LOC124188354,XP_046436873.1,AP-3 complex subunit beta-1-like isoform X2,2189,4748,11355,4060,4402,1718,1871,1788,,g2327,R11A5.1b.1,FBgn0003210,FBpp0304569,FBgn0003210,rb,ruby,,XP_021704979.1,ENSP00000499235.1,ENSMUSP00000080739.8,XP_624446.3,,XP_037874306.1
LOC124188355,XP_046436874.1,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1-like,1903,5715,8072,2000,1785,1273,1820,1297,,g2328,,FBgn0015623,,,Cpr,Cytochrome P450 reductase,,,ENSP00000352645.5,ENSMUSP00000037173.7,,ENSDARP00000117225.1,
LOC124188356,XP_046436875.1,nicalin-like,1148,4133,9184,3227,3226,614,1332,1196,,g2323,T05F1.1b.1,FBgn0032217,FBpp0079578,FBgn0032217,CG4972,0,,XP_001657519.1,ENSP00000246117.3,ENSMUSP00000020463.8,XP_394739.4,ENSDARP00000076240.3,XP_004933463.1
LOC124188357,XP_046436876.1,stomatin-like protein 2%2C mitochondrial,920,3123,7064,2496,2803,625,1119,794,,g2324,F30A10.5b.1,FBgn0034936,FBpp0072054,FBgn0034936,Stoml2,Stomatin like 2,,XP_001649283.2,ENSP00000348886.5,ENSMUSP00000030169.9,XP_395784.2,ENSDARP00000141850.1,XP_037873447.1
LOC124188358,XP_046436877.1,luc7-like protein 3,127,653,1420,472,625,480,471,213,,g2326,,FBgn0261563,,,wb,wing blister,,,ENSP00000204549.4,ENSMUSP00000148947.2,XP_016768078.2,ENSDARP00000056892.4,XP_004925070.1
LOC124188359,XP_046436878.1,tubulin-specific chaperone A-like,437,1363,1924,556,713,426,395,351,,g2325,Y39G10AR.20.1,FBgn0039869,FBpp0085195,FBgn0039869,CG1890,0,,XP_001657525.1,ENSP00000369736.4,ENSMUSP00000038781.6,XP_006561337.1,ENSDARP00000012019.7,XP_012544909.2
LOC124188360,XP_046436881.1,cyclin-dependent kinase 12-like isoform X2,5332,18189,27700,8875,11172,3871,5926,4513,,g2510,,FBgn0037093,,,Cdk12,Cyclin-dependent kinase 12,,,,,,,
LOC124188361,XP_046436888.1,chitin deacetylase 1-like isoform X2,1877,1534,5736,1676,15026,1862,2530,2486,,g2508,,FBgn0052499,FBpp0077054,FBgn0052499,Cda4,Chitin deacetylase-like 4,,XP_001651034.1,,,XP_001120478.2,,XP_037870241.1
LOC124188362,XP_046436889.1,ELL-associated factor 1-like,834,2514,6365,2215,5912,1346,1108,1094,,g2509,,FBgn0033166,,,Eaf,ELL-associated factor,,,,,,,
LOC124188363,XP_046436891.1,NADH dehydrogenase [ubiquinone] 1 subunit C2-like,381,1693,4421,2545,5579,1488,1109,715,,g2507,,FBgn0031505,,,ND-B14.5B,NADH dehydrogenase (ubiquinone) B14.5 B subunit,,,,,,,
LOC124188365,XP_046436894.1,serine protease filzig-like,470,2763,6250,3991,7755,1587,2058,744,,,,,FBpp0271893,FBgn0286782,flz,filzig,,XP_021702122.1,,ENSMUSP00000113079.2,XP_006559395.2,,XP_004933269.3
LOC124188366,XP_046436895.1,UBX domain-containing protein 4-like,612,1403,4087,1524,1873,635,641,584,,,ZK353.8.2,,FBpp0076481,FBgn0027554,CG8042,0,,,ENSP00000272638.9,ENSMUSP00000027592.4,XP_391980.1,,XP_037872601.1
LOC124188367,XP_046436896.1,mitochondrial potassium channel-like,127,294,1727,809,810,247,271,273,,,ZC477.3c.1,,,,,,,XP_001661950.2,ENSP00000379047.2,ENSMUSP00000026735.8,XP_003251908.1,ENSDARP00000076213.4,XP_012549849.2
LOC124188368,XP_046436897.1,homeobox protein OTX1-like,1,42,92,38,45,24,29,9,,,,,,,,,,,,,,,
LOC124188372,XP_046436899.1,zinc finger protein rotund-like isoform X1,215,1450,3360,2016,3599,804,854,377,,g3726,,FBgn0262636,,,dati,datilografo,,,,,,,
LOC124188373,XP_046436909.1,sterol regulatory element-binding protein 1-like isoform X2,980,5164,15562,8007,15227,5619,5892,4560,,g1776,,FBgn0035113,,,pyx,pyrexia,,,,,,,
LOC124188374,XP_046436912.1,transient receptor potential channel pyrexia-like,41,154,487,293,657,246,169,218,,g1777,,,,,,,,,,,,,
LOC124188375,XP_046436914.1,zeta-sarcoglycan-like,0,17,585,737,1862,349,341,72,,g1775,F07H5.2.1,FBgn0025391,FBpp0311618,FBgn0025391,Scgdelta,Sarcoglycan delta,,XP_021701672.1,ENSP00000338343.4,ENSMUSP00000076459.6,XP_624162.2,ENSDARP00000154367.1,XP_012547195.2
LOC124188377,XP_046436918.1,liprin-alpha-1-like isoform X4,1697,6727,15709,6608,9536,3554,4096,2540,,g2310,F59F5.6.2,FBgn0046704,FBpp0078930,FBgn0046704,Liprin-alpha,Liprin-alpha,,,ENSP00000473622.1,ENSMUSP00000003961.9,,ENSDARP00000119723.1,
LOC124188378,XP_046437038.1,nascent polypeptide-associated complex subunit alpha-like isoform X1,6106,25379,41088,11566,9891,4311,5402,3753,,g863,,FBgn0086904,FBpp0086972,FBgn0086904,Nacalpha,Nascent polypeptide associated complex protein alpha subunit,,,,ENSMUSP00000073532.8,,ENSDARP00000112826.1,NP_001040365.1
LOC124188379,XP_046436921.1,uncharacterized protein LOC124188379 isoform X2,1593,3785,7014,2580,3845,1052,1308,1131,,g2311,2RSSE.1c.1,FBgn0036518,FBpp0304402,FBgn0036518,RhoGAP71E,Rho GTPase activating protein at 71E,,XP_021710851.1,,,,,XP_012550351.1
LOC124188380,XP_046436922.1,diuretic hormone class 2-like isoform X1,0,0,24,161,842,666,533,63,,g2312,,FBgn0032048,FBpp0079307,FBgn0032048,Dh31,Diuretic hormone 31,,,,,XP_026296834.1,,NP_001124379.1
LOC124188382,XP_046436925.1,platelet glycoprotein 4-like,0,9,6,1,80,12,13,4,,g173,Y49E10.20.1,,,,,,,,,,,,
LOC124188385,XP_046436926.1,peroxisome biogenesis factor 1-like,463,2479,4646,1502,2220,1378,1564,1172,,g1840,,FBgn0013563,,,Pex1,Peroxin 1,,,,,,,
LOC124188386,XP_046436939.1,RNA polymerase II degradation factor 1-like,1811,15,34,6,17,18,19,18,,g590,,FBgn0053196,,,dpy,dumpy,,,,,,,
LOC124188390,XP_046436940.1,golgin subfamily B member 1-like,1399,365,496,112,268,80,34,936,,g1841,,FBgn0002466,,,sti,sticky,,,ENSP00000404220.2,ENSMUSP00000113616.3,,,
LOC124188391,XP_046436941.1,uncharacterized protein LOC124188391,4011,11,20,19,9,0,0,7,,g1842,,,,,,,,,,ENSMUSP00000137292.2,,,
LOC124188392,XP_046436945.1,uncharacterized protein LOC124188392 isoform X4,275,1379,3354,1512,2535,692,727,362,,g1844,,FBgn0013733,,,shot,short stop,,,,,,,
LOC124188393,XP_046436962.1,dickkopf-related protein 3-like,447,77,65,1,29,4,1,61,,g1357,,FBgn0053196,,,dpy,dumpy,,,ENSP00000506835.1,ENSMUSP00000033036.6,,ENSDARP00000137477.1,
LOC124188395,XP_046436956.1,receptor-type tyrosine-protein phosphatase V-like isoform X3,2,22,1038,782,1212,382,263,189,,g1843,,FBgn0004370,,,Ptp10D,Protein tyrosine phosphatase 10D,,,,,,,
LOC124188396,XP_046436957.1,uncharacterized protein LOC124188396,1,1,85,293,913,297,251,77,,g1848,,FBgn0083971,FBpp0110205,FBgn0083971,CG34135,0,,XP_021710815.1,,,XP_625113.1,,XP_037872867.1
LOC124188397,XP_046436959.1,ras-related C3 botulinum toxin substrate 1,1049,4194,9208,3610,5731,1501,1835,1111,,g1846,C09G12.8b.1,FBgn0010333,FBpp0304252,FBgn0010333,Rac1,Rac1,,XP_021696819.1,ENSP00000258737.7,ENSMUSP00000079380.8,XP_623951.1,ENSDARP00000110728.1,XP_004932553.1
LOC124188398,XP_046436960.1,putative ATP synthase subunit f%2C mitochondrial,758,2552,8118,4617,8631,2767,1912,1321,,g1845,R53.4.1,FBgn0035032,FBpp0072247,FBgn0035032,ATPsynF,"ATP synthase, subunit F",,XP_021707251.1,ENSP00000292475.4,ENSMUSP00000125504.2,XP_393421.1,ENSDARP00000055185.5,XP_004921980.1
LOC124188400,XP_046436961.1,uncharacterized protein LOC124188400,1724,7451,14851,7723,12874,3096,4045,1896,,g1849,F53B3.5.1,FBgn0030870,FBpp0309626,FBgn0030870,CG6398,0,,XP_001655028.1,ENSP00000456594.1,ENSMUSP00000159180.2,XP_623543.1,ENSDARP00000088421.4,XP_004921947.1
