Consensus Name,KAP4 Locus,KAP4 Description,A,C,D,E,F,H,I,M,CON21 Gene #,A,B,C,D,E,F,G,H,I,Fly Gene #,Fly Gene,Fly Description,TF family
Dpul_Gene_20,LOC124188289,transmembrane protein 218-like,1,10,78,42,64,32,21,6,g2570,3,6,8,20,29,25,17,12,6,FBgn0026391,Or33b,Odorant receptor 33b,
Dpul_Gene_21,LOC124188290,CDGSH iron-sulfur domain-containing protein 3%2C mitochondrial-like,226,627,2158,1165,1762,294,253,320,g2571,758,865,879,795,696,759,230,286,146,FBgn0033100,CG3420,0,
Dpul_Gene_22,LOC124188292,cytochrome c oxidase assembly protein COX18%2C mitochondrial-like,155,589,1537,638,935,343,352,267,g2586,416,716,723,538,616,487,575,664,418,FBgn0035960,CG4942,0,
Dpul_Gene_23,LOC124188293,protein MEMO1-like isoform X1,667,3032,5636,1685,2483,573,597,498,g2585,1218,1910,1743,806,581,486,572,448,343,FBgn0038110,CG8031,0,
Dpul_Gene_24,LOC124188296,E2F-associated phosphoprotein-like,318,1071,2207,613,584,294,261,260,g2584,685,765,691,349,251,164,201,149,99,FBgn0005649,Rox8,Rox8,
Dpul_Gene_25,LOC124188297,calmodulin,4011,17249,38603,24480,50220,14098,13964,5749,g2583,6218,8893,8059,5332,6216,6713,11550,9905,5728,FBgn0000253,Cam,Calmodulin,
Dpul_Gene_26,LOC124188298,guanylate cyclase 32E-like isoform X1,55,2569,3834,2817,6064,1699,1895,715,g2350,38,337,428,277,581,499,4034,3101,2078,FBgn0010197,Gyc32E,Guanylyl cyclase at 32E,
Dpul_Gene_27,LOC124188299,eukaryotic elongation factor 2 kinase-like isoform X2,719,2254,5563,2006,2924,1674,1421,1483,g2348,473,670,615,410,313,328,1597,1147,787,,,,
Dpul_Gene_28,LOC124188300,uncharacterized protein LOC124188300 isoform X2,14,591,437,1101,1961,320,453,153,g2347,23,725,461,83,222,285,8,102,87,FBgn0035750,CG14826,0,
Dpul_Gene_29,LOC124188301,uncharacterized protein LOC124188301,0,0,2,10,78,1176,1119,874,g1041,0,0,0,1,18,29,95,282,96,FBgn0027603,Ulp1,Ulp1,
Dpul_Gene_30,LOC124188302,ras-related protein Rab-37-like isoform X1,2,23,335,281,1049,397,404,189,g2349,55,76,76,227,236,403,822,773,779,FBgn0086913,Rab26,Rab26,
Dpul_Gene_31,LOC124188304,uncharacterized protein LOC124188304 isoform X3,3852,6040,10743,3862,8583,2798,2712,4188,g2041,2016,969,817,544,593,458,2423,2115,2008,FBgn0035842,CG7504,0,
Dpul_Gene_32,LOC124188305,E3 ubiquitin-protein ligase RBBP6-like,4335,16710,24151,7005,10919,4409,5267,4178,g2010,4023,5294,4537,2469,2138,979,2658,3554,3631,FBgn0086129,snama,something that sticks like glue,
Dpul_Gene_33,LOC124188306,zinc finger protein 761-like,976,3366,7161,1824,2148,909,748,693,g2028,828,1002,884,428,249,234,631,648,538,FBgn0020309,crol,crooked legs,zf-C2H2
Dpul_Gene_34,LOC124188307,uncharacterized protein LOC124188307,2,288,153,69,310,70,50,20,g62,1,107,85,6,8,40,119,66,54,,,,
Dpul_Gene_35,LOC124188308,lysine-specific demethylase RSBN1L-like,2599,10378,19525,6104,8494,3703,3526,2259,g2034,1571,2709,2578,1375,1211,728,2077,1832,1234,FBgn0032717,CG10600,0,
Dpul_Gene_36,LOC124188309,cold shock domain-containing protein E1-like,5039,15931,24317,8668,12538,4724,5879,4885,g2018,3716,3019,1982,831,645,861,4092,4714,3284,FBgn0263352,Unr,Upstream of N-ras,
Dpul_Gene_37,LOC124188311,wolframin-like,480,1494,3595,1704,2063,864,1125,858,g2019,299,373,336,219,244,240,467,565,393,FBgn0039003,wfs1,wolfram syndrome 1,
Dpul_Gene_38,LOC124188313,von Willebrand factor A domain-containing protein 5A-like,4,25,234,24,155,10,5,133,g2016,93,98,84,62,130,284,1226,892,1274,FBgn0261041,stj,straightjacket,
Dpul_Gene_39,LOC124188314,influenza virus NS1A-binding protein homolog isoform X1,5252,16091,30283,9976,15821,6975,8264,8018,g2047,4555,3826,3435,2014,1352,1721,9504,7985,7850,FBgn0040230,dbo,diablo,
Dpul_Gene_40,LOC124188316,cyclic nucleotide-gated cation channel subunit A-like,1,7,111,97,367,44,42,67,g2014,2,2,3,6,8,13,35,21,19,FBgn0261612,CngA,Cyclic nucleotide-gated ion channel subunit A,
Dpul_Gene_41,LOC124188317,probable peroxisomal acyl-coenzyme A oxidase 1,454,1306,3206,1574,2627,694,796,791,g2044,487,682,723,529,529,735,536,722,707,FBgn0027572,CG5009,0,
Dpul_Gene_42,LOC124188318,probable peroxisomal acyl-coenzyme A oxidase 1,26,223,421,535,3519,379,242,539,g2043,19,128,130,93,95,313,168,209,320,,,,
Dpul_Gene_43,LOC124188319,uncharacterized protein LOC124188319 isoform X2,2826,6242,14264,5521,7292,3683,3392,2560,g2036,1220,1300,1034,651,749,602,1921,1403,953,FBgn0031322,CG5001,0,
Dpul_Gene_44,LOC124188320,SUMO-activating enzyme subunit 2-like,2836,8380,10073,2564,2374,975,1544,1486,g2037,2810,2899,2136,626,383,232,336,864,566,FBgn0029113,Uba2,Ubiquitin-like activating enzyme 2,
Dpul_Gene_45,LOC124188322,uncharacterized protein LOC124188322 isoform X1,0,13,478,621,2655,889,962,1235,g2030,12,7,8,61,85,432,2182,2060,995,FBgn0032079,CG31886,0,
Dpul_Gene_46,LOC124188323,alpha-protein kinase 1-like isoform X2,81,537,587,164,2885,348,448,319,g2042,101,346,355,126,97,82,191,228,177,FBgn0041629,Hexo2,Hexosaminidase 2,
Dpul_Gene_47,LOC124188324,uncharacterized protein LOC124188324,171,874,3394,1696,3484,1078,741,587,g2011,244,309,336,294,380,334,546,424,303,FBgn0031773,Fbw5,F-box and WD repeat domain containing 5,
Dpul_Gene_48,LOC124188325,TBC1 domain family member 22B-like,568,1610,3614,1418,1526,1289,741,669,g2027,757,636,619,369,441,318,956,512,465,FBgn0038855,CG5745,0,
Dpul_Gene_49,LOC124188326,vacuolar fusion protein CCZ1 homolog,193,381,1002,380,573,212,148,251,g2012,491,273,260,155,144,124,183,165,130,FBgn0035470,Ccz1,"Caffeine, calcium, zinc sensitivity 1",
Dpul_Gene_50,LOC124188327,alpha-(1%2C3)-fucosyltransferase C-like,25,70,488,871,347,599,917,387,g2048,5,10,16,76,597,160,398,472,154,FBgn0044872,FucTC,"alpha1,3-fucosyltransferase C",
Dpul_Gene_51,LOC124188328,uncharacterized protein LOC124188328,138,1000,3217,1319,2843,1267,731,404,g2033,552,1021,897,410,398,378,702,359,326,FBgn0032079,CG31886,0,
Dpul_Gene_52,LOC124188329,peptide chain release factor 1-like%2C mitochondrial,167,533,1500,577,620,213,169,222,g2025,334,224,204,122,130,96,117,118,91,FBgn0032486,mRF1,mitochondrial translation release factor 1,
Dpul_Gene_53,LOC124188330,uncharacterized protein LOC124188330,1,5,260,346,448,151,72,51,g2046,2,9,10,27,55,192,144,96,190,FBgn0011604,Iswi,Imitation SWI,
Dpul_Gene_54,LOC124188331,S-phase kinase-associated protein 2-like,1669,1274,1125,212,230,97,167,1257,g2024,3410,807,581,111,39,37,46,117,217,FBgn0037236,Skp2,S-phase kinase-associated protein 2,
Dpul_Gene_55,LOC124188332,uncharacterized protein LOC124188332,0,26,1473,927,2474,549,432,418,g2045,0,16,32,624,767,484,2116,1019,834,FBgn0030360,CG1806,0,
Dpul_Gene_56,LOC124188333,uncharacterized protein LOC124188333,4,20,153,347,1595,737,531,216,g2031,2,25,21,20,124,462,216,212,165,FBgn0037039,CG10587,0,
Dpul_Gene_57,LOC124188334,uncharacterized protein LOC124188334,242,770,1748,1437,1690,1812,1841,584,g2032,339,847,812,329,451,264,1115,583,372,FBgn0002565,Lsp2,Larval serum protein 2,
Dpul_Gene_58,LOC124188335,enoyl-CoA delta isomerase 2-like,129,746,3031,1734,2216,702,474,486,g2038,342,442,479,436,572,499,358,305,220,FBgn0035169,Dci,Dodecenoyl-CoA delta-isomerase,
Dpul_Gene_59,LOC124188336,twist-related protein-like,26,441,725,328,401,56,25,8,g2029,15,222,159,83,77,103,63,42,21,FBgn0011276,HLH3B,Helix loop helix protein 3B,HLH
Dpul_Gene_60,LOC124188337,outer dense fiber protein 3-like isoform X1,16,202,2073,3296,8760,1598,1848,1433,g2017,16,84,88,346,718,790,2227,1837,1635,FBgn0032010,CG8086,0,
Dpul_Gene_61,LOC124188338,cyanocobalamin reductase / alkylcobalamin dealkylase-like,56,401,842,297,350,163,130,97,g2026,196,191,186,109,88,63,60,85,55,FBgn0036336,ste14,isoprenylcysteine carboxylmethyltransferase,
Dpul_Gene_62,LOC124188339,uncharacterized protein LOC124188339 isoform X1,28,24,79,35,140,25,32,190,g2015,3,1,1,3,9,8,14,11,12,FBgn0011554,etaTry,etaTrypsin,
Dpul_Gene_63,LOC124188340,MICOS complex subunit Mic19-like,501,1513,4777,2695,4770,1224,1242,708,g2035,1203,1046,1030,953,1016,1432,953,1075,636,FBgn0010808,Chchd3,Coiled-coil-helix-coiled-coil-helix domain containing 3,
Dpul_Gene_64,LOC124188342,acyl carrier protein%2C mitochondrial-like,1608,5482,14982,8872,15666,3314,2909,2161,g2013,4527,4007,4056,3714,4273,5796,2554,2626,1558,FBgn0011361,ND-ACP,NADH dehydrogenase (ubiquinone) acyl carrier protein,
Dpul_Gene_65,LOC124188349,A disintegrin and metalloproteinase with thrombospondin motifs 18-like isoform X1,162,2255,5545,4208,23939,5076,4870,3264,g1483,28,216,250,442,719,881,19416,9525,5091,FBgn0034903,sona,sol narae,
Dpul_Gene_66,LOC124188350,sialin-like,2,8,202,324,1395,403,337,373,g1485,1,8,17,57,119,311,430,334,388,FBgn0038799,MFS9,Major Facilitator Superfamily Transporter 9,
Dpul_Gene_67,LOC124188351,sialin-like,1,5,27,106,755,166,149,126,g1486,0,1,3,6,8,211,352,191,175,FBgn0028513,CG9254,0,
Dpul_Gene_68,LOC124188354,AP-3 complex subunit beta-1-like isoform X2,2189,4748,11355,4060,4402,1718,1871,1788,g2327,2883,2305,1848,994,917,691,1206,1412,1049,FBgn0003210,rb,ruby,
Dpul_Gene_69,LOC124188355,S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1-like,1903,5715,8072,2000,1785,1273,1820,1297,g2328,3221,3039,2343,989,711,500,1544,1801,1036,FBgn0015623,Cpr,Cytochrome P450 reductase,
Dpul_Gene_70,LOC124188356,nicalin-like,1148,4133,9184,3227,3226,614,1332,1196,g2323,1135,2140,2166,1219,1019,721,366,884,401,FBgn0032217,CG4972,0,
Dpul_Gene_71,LOC124188357,stomatin-like protein 2%2C mitochondrial,920,3123,7064,2496,2803,625,1119,794,g2324,2168,2037,2005,977,604,624,256,955,486,FBgn0034936,Stoml2,Stomatin like 2,
Dpul_Gene_72,LOC124188358,luc7-like protein 3,127,653,1420,472,625,480,471,213,g2326,424,600,508,230,247,172,197,344,195,FBgn0261563,wb,wing blister,
Dpul_Gene_73,LOC124188359,tubulin-specific chaperone A-like,437,1363,1924,556,713,426,395,351,g2325,819,1276,1188,432,409,242,132,231,130,FBgn0039869,CG1890,0,
Dpul_Gene_74,LOC124188360,cyclin-dependent kinase 12-like isoform X2,5332,18189,27700,8875,11172,3871,5926,4513,g2510,2951,4025,3261,1364,971,797,3143,4416,2784,FBgn0037093,Cdk12,Cyclin-dependent kinase 12,
Dpul_Gene_75,LOC124188361,chitin deacetylase 1-like isoform X2,1877,1534,5736,1676,15026,1862,2530,2486,g2508,2520,1413,1121,1055,746,1704,3163,3256,886,FBgn0052499,Cda4,Chitin deacetylase-like 4,
Dpul_Gene_76,LOC124188362,ELL-associated factor 1-like,834,2514,6365,2215,5912,1346,1108,1094,g2509,1433,1589,1378,969,784,1180,833,783,722,FBgn0033166,Eaf,ELL-associated factor,
Dpul_Gene_77,LOC124188363,NADH dehydrogenase [ubiquinone] 1 subunit C2-like,381,1693,4421,2545,5579,1488,1109,715,g2507,895,1284,1438,1478,1748,2322,1095,873,512,FBgn0031505,ND-B14.5B,NADH dehydrogenase (ubiquinone) B14.5 B subunit,
Dpul_Gene_78,LOC124188372,zinc finger protein rotund-like isoform X1,215,1450,3360,2016,3599,804,854,377,g3726,13,19,30,69,82,59,2689,1470,1031,FBgn0262636,dati,datilografo,
Dpul_Gene_79,LOC124188373,sterol regulatory element-binding protein 1-like isoform X2,980,5164,15562,8007,15227,5619,5892,4560,g1776,651,1431,1561,1281,1617,1350,6767,4317,4508,FBgn0035113,pyx,pyrexia,
Dpul_Gene_80,LOC124188374,transient receptor potential channel pyrexia-like,41,154,487,293,657,246,169,218,g1777,26,104,98,99,129,130,570,368,558,,,,
Dpul_Gene_81,LOC124188375,zeta-sarcoglycan-like,0,17,585,737,1862,349,341,72,g1775,0,3,7,52,69,167,1791,1110,723,FBgn0025391,Scgdelta,Sarcoglycan delta,
Dpul_Gene_82,LOC124188377,liprin-alpha-1-like isoform X4,1697,6727,15709,6608,9536,3554,4096,2540,g2310,911,713,598,416,383,473,2925,2978,2135,FBgn0046704,Liprin-alpha,Liprin-alpha,
Dpul_Gene_83,LOC124188378,nascent polypeptide-associated complex subunit alpha-like isoform X1,6106,25379,41088,11566,9891,4311,5402,3753,g863,11743,19371,18343,9149,5416,4094,2560,5154,2449,FBgn0086904,Nacalpha,Nascent polypeptide associated complex protein alpha subunit,
Dpul_Gene_84,LOC124188379,uncharacterized protein LOC124188379 isoform X2,1593,3785,7014,2580,3845,1052,1308,1131,g2311,2772,2082,1782,789,587,464,1200,1108,928,FBgn0036518,RhoGAP71E,Rho GTPase activating protein at 71E,
Dpul_Gene_85,LOC124188380,diuretic hormone class 2-like isoform X1,0,0,24,161,842,666,533,63,g2312,0,1,2,10,69,166,378,328,164,FBgn0032048,Dh31,Diuretic hormone 31,
Dpul_Gene_86,LOC124188382,platelet glycoprotein 4-like,0,9,6,1,80,12,13,4,g173,1,1,1,1,0,48,212,20,51,,,,
Dpul_Gene_87,LOC124188385,peroxisome biogenesis factor 1-like,463,2479,4646,1502,2220,1378,1564,1172,g1840,211,270,216,100,92,120,1206,1159,945,FBgn0013563,Pex1,Peroxin 1,
Dpul_Gene_88,LOC124188386,RNA polymerase II degradation factor 1-like,1811,15,34,6,17,18,19,18,g590,2843,295,62,59,36,211,986,745,430,FBgn0053196,dpy,dumpy,
Dpul_Gene_89,LOC124188387,transcription factor SOX-1-like,748,1462,1420,394,609,220,192,140,g1838,296,294,221,119,92,29,371,213,132,FBgn0042630,Sox21b,Sox21b,HMG_box
Dpul_Gene_90,LOC124188388,transcription factor Sox-1-like,1,57,350,228,400,144,113,24,g1839,6,30,34,37,52,66,149,81,64,FBgn0036411,Sox21a,Sox21a,HMG_box
Dpul_Gene_91,LOC124188389,transcription factor Sox-21-like,196,1419,1707,395,544,167,183,25,g1836,68,324,320,205,140,40,406,213,88,FBgn0042630,Sox21b,Sox21b,HMG_box
Dpul_Gene_92,LOC124188390,golgin subfamily B member 1-like,1399,365,496,112,268,80,34,936,g1841,2978,133,81,23,8,24,13,25,161,FBgn0002466,sti,sticky,
Dpul_Gene_93,LOC124188391,uncharacterized protein LOC124188391,4011,11,20,19,9,0,0,7,g1842,6203,284,3,6,5,10,7,2,1,,,,
Dpul_Gene_94,LOC124188392,uncharacterized protein LOC124188392 isoform X4,275,1379,3354,1512,2535,692,727,362,g1844,207,609,410,232,250,349,698,522,540,FBgn0013733,shot,short stop,
Dpul_Gene_95,LOC124188393,dickkopf-related protein 3-like,447,77,65,1,29,4,1,61,g1357,176,116,20,1,2,1,4,3,3,FBgn0053196,dpy,dumpy,
Dpul_Gene_96,LOC124188394,myocardin-related transcription factor A-like isoform X1,312,2314,6679,3531,7160,1933,2084,1143,g1847,68,200,219,235,221,252,4237,2961,2108,FBgn0052296,Mrtf,Myocardin-related transcription factor,RPEL
Dpul_Gene_97,LOC124188395,receptor-type tyrosine-protein phosphatase V-like isoform X3,2,22,1038,782,1212,382,263,189,g1843,22,9,10,85,100,198,373,337,278,FBgn0004370,Ptp10D,Protein tyrosine phosphatase 10D,
Dpul_Gene_98,LOC124188396,uncharacterized protein LOC124188396,1,1,85,293,913,297,251,77,g1848,0,1,2,48,225,227,751,414,318,FBgn0083971,CG34135,0,
Dpul_Gene_99,LOC124188397,ras-related C3 botulinum toxin substrate 1,1049,4194,9208,3610,5731,1501,1835,1111,g1846,1431,2629,2358,1332,1123,1068,1972,1486,621,FBgn0010333,Rac1,Rac1,
Dpul_Gene_100,LOC124188398,putative ATP synthase subunit f%2C mitochondrial,758,2552,8118,4617,8631,2767,1912,1321,g1845,4547,4194,4584,4228,4537,7699,3382,3133,1812,FBgn0035032,ATPsynF,"ATP synthase, subunit F",
Dpul_Gene_101,LOC124188400,uncharacterized protein LOC124188400,1724,7451,14851,7723,12874,3096,4045,1896,g1849,2236,4209,3848,2940,4558,1955,5598,3459,1817,FBgn0030870,CG6398,0,
Dpul_Gene_102,LOC124188402,uncharacterized protein LOC124188402,699,2919,7279,2857,4352,1341,1379,1013,g1851,670,970,962,686,747,529,1227,917,738,FBgn0030961,CG7058,0,
Dpul_Gene_103,LOC124188403,guanine nucleotide-binding protein subunit alpha homolog,715,1394,3222,805,984,494,400,898,g1852,1158,635,517,226,172,133,263,241,269,FBgn0000384,cta,concertina,
Dpul_Gene_104,LOC124188404,ankyrin repeat domain-containing protein 49-like,197,844,1840,818,1138,435,386,290,g1853,263,612,624,317,334,234,189,236,147,FBgn0261881,l(2)35Be,lethal (2) 35Be,
Dpul_Gene_105,LOC124188406,catenin alpha-like isoform X1,2398,11406,27719,11543,14403,5160,5887,3097,g1857,2639,2632,2173,1651,1366,1316,4160,3601,1977,FBgn0010215,alpha-Cat,alpha Catenin,
Dpul_Gene_106,LOC124188407,nardilysin-like isoform X2,1524,5578,11181,3410,4743,1761,2359,1617,g230,1821,4062,3647,2067,2331,1718,2504,2842,1993,FBgn0030344,Nrd1,Nardilysin,
Dpul_Gene_107,LOC124188409,uncharacterized protein LOC124188409 isoform X1,1316,2271,3028,869,1374,673,621,989,g1863,1554,979,648,178,125,155,367,546,541,FBgn0032455,Pih1D1,PIH1 domain containing 1,
Dpul_Gene_108,LOC124188410,malonyl-CoA decarboxylase%2C mitochondrial-like isoform X1,326,1366,3282,1435,2678,2677,1201,944,g1858,239,488,443,273,358,348,1817,831,620,,,,
Dpul_Gene_109,LOC124188411,eukaryotic initiation factor 4A-III,7417,18202,24639,6230,10599,2745,3721,4135,g1861,10792,10290,8506,3514,2045,1782,1970,2772,1562,FBgn0037573,CG7483,0,
Dpul_Gene_110,LOC124188412,ATP synthase mitochondrial F1 complex assembly factor 2-like,344,1358,3047,1083,1073,460,488,408,g1860,426,819,793,490,336,347,110,269,188,FBgn0021856,l(2)k14505,lethal (2) k14505,
Dpul_Gene_111,LOC124188413,39S ribosomal protein L35%2C mitochondrial-like,285,929,3012,1381,1925,363,432,298,g1862,649,681,694,597,564,546,237,334,169,FBgn0038923,mRpL35,mitochondrial ribosomal protein L35,
Dpul_Gene_112,LOC124188414,ribonuclease P protein subunit p20-like,360,1300,2870,1018,1054,856,620,447,g1859,930,1051,953,541,558,343,441,369,202,FBgn0066304,Rpp20,Rpp20,
Dpul_Gene_113,LOC124188415,small conductance calcium-activated potassium channel protein 2-like isoform X1,128,69,612,1136,2525,685,737,260,g1867,28,7,10,72,168,246,5295,3928,2364,FBgn0029761,SK,small conductance calcium-activated potassium channel,
Dpul_Gene_114,LOC124188416,sorting nexin-2-like,1395,3960,9446,3977,5839,1824,1864,1865,g1869,1480,1289,1161,862,890,784,1570,1356,868,FBgn0031534,Snx1,Sorting nexin 1,
Dpul_Gene_115,LOC124188417,ATP-dependent RNA helicase abstrakt-like isoform X1,1063,3374,4896,1427,1958,753,570,777,g1872,1287,1417,1118,474,359,342,498,397,396,FBgn0015331,abs,abstrakt,
Dpul_Gene_116,LOC124188418,protein DDI1 homolog 2-like,688,3184,5638,1675,2510,1080,832,752,g1873,1121,2093,2056,850,635,498,682,594,457,FBgn0030753,rngo,rings lost,
Dpul_Gene_117,LOC124188419,uncharacterized protein LOC124188419 isoform X2,134,682,1044,254,297,155,195,140,g1870,147,389,354,166,136,76,117,140,60,FBgn0051121,CG31121,0,
Dpul_Gene_118,LOC124188420,PEST proteolytic signal-containing nuclear protein-like,368,1540,2599,809,879,462,361,246,g1871,449,1338,1120,542,419,220,168,166,132,,,,
Dpul_Gene_119,LOC124188421,anaphase-promoting complex subunit 1-like,1998,5208,6511,1672,1973,1334,1598,2075,g1878,811,1129,831,317,253,165,1704,1800,1430,FBgn0004391,shtd,shattered,
Dpul_Gene_120,LOC124188422,R3H domain-containing protein 2-like isoform X1,37,10,1166,3000,7191,2174,2110,566,g1886,30,2,2,63,311,442,4308,2483,1403,FBgn0004875,enc,encore,
Dpul_Gene_121,LOC124188423,probable peroxisomal acyl-coenzyme A oxidase 1,393,2252,6455,3849,5540,1828,1883,1575,g1885,319,829,831,597,868,823,1017,993,828,,,,
Dpul_Gene_122,LOC124188424,protein arginine N-methyltransferase 3-like,1679,4369,8180,1909,2069,965,1860,1559,g1881,1976,2075,1803,782,460,226,952,1172,552,FBgn0038306,Art3,Arginine methyltransferase 3,
Dpul_Gene_123,LOC124188425,chitotriosidase-1-like,11,11,39,202,2230,396,166,69,g1874,3,2,1,2,4,553,1065,344,452,FBgn0034580,Cht8,Chitinase 8,
Dpul_Gene_124,LOC124188426,thymidine phosphorylase-like,18,16,40,66,457,546,373,280,g1879,15,2,2,7,104,234,4430,907,402,,,,
Dpul_Gene_125,LOC124188427,thymidine phosphorylase-like,2,4,323,252,508,1097,789,404,g1880,5,6,6,26,61,308,4720,1913,456,FBgn0033993,CG8089,0,zf-C2H2
Dpul_Gene_126,LOC124188428,WD repeat-containing protein 13-like,378,557,1003,333,483,194,284,431,g1884,805,235,208,126,108,95,274,303,270,FBgn0040066,wds,will die slowly,
Dpul_Gene_127,LOC124188429,kynurenine/alpha-aminoadipate aminotransferase%2C mitochondrial-like,192,1111,3870,3077,7356,1563,1401,1184,g1877,131,272,286,290,376,591,621,577,406,FBgn0036117,CG6321,0,
Dpul_Gene_128,LOC124188430,DNA excision repair protein ERCC-8-like,100,539,796,274,311,186,169,132,g1876,205,284,264,128,110,69,148,175,122,FBgn0041171,ago,archipelago,
Dpul_Gene_129,LOC124188435,uncharacterized protein LOC124188435,1813,5919,5081,919,1129,667,826,1264,g233,1764,1502,1234,293,167,120,509,691,482,FBgn0036574,elg1,enhanced level of genomic instability 1,
Dpul_Gene_130,LOC124188437,unconventional myosin-If-like,108,562,3363,3373,18270,3160,3109,2336,g1895,28,75,64,108,264,484,1241,1626,1660,FBgn0010246,Myo61F,Myosin 61F,
Dpul_Gene_131,LOC124188438,hemocyte protein-glutamine gamma-glutamyltransferase-like,11,53,2766,2285,3836,877,1282,805,g1892,43,25,15,203,343,610,1876,2018,916,FBgn0031975,Tg,Transglutaminase,
Dpul_Gene_132,LOC124188439,neuronal acetylcholine receptor subunit alpha-10-like isoform X2,74,527,476,250,669,310,327,114,g1891,24,166,197,58,100,117,513,365,230,FBgn0032151,nAChRalpha6,nicotinic Acetylcholine Receptor alpha6,
Dpul_Gene_133,LOC124188441,uncharacterized protein LOC124188441 isoform X1,409,2912,3466,1800,2367,1252,1406,1120,g1896,150,528,563,321,540,228,4859,4163,3022,FBgn0000008,a,arc,
Dpul_Gene_134,LOC124188443,uncharacterized protein LOC124188443,280,1858,4170,1912,3329,902,1327,502,g1897,59,286,331,409,571,297,2039,1399,1067,FBgn0000008,a,arc,
Dpul_Gene_135,LOC124188444,ATP-binding cassette sub-family F member 1-like,3811,10568,20433,7008,13096,2981,4371,3825,g228,3925,3381,2562,1272,917,1263,1401,2635,1582,FBgn0030321,CG1703,0,
