CON21 Name,A,B,C,D,E,F,G,H,I,Fly Name (ZQ),Fly Description (ZQ),KAP4 Protein,KAP4 Locus,KAP4 Descritpion,C. elegans,Human,Honeybee,Mouse,Zebrafish,Silkworm,Mosquito,Cluster
g17222,209,46,24,41,28,270,2936,5922,13309,mod,modulo,XP_046452312.1,LOC124200201,hemolymph clottable protein-like,,,,,,XP_037876897.1,,14
g6868,654,263,284,1285,888,2711,13059,10664,10698,Pif1A,PFTAIRE-interacting factor 1A,XP_046441789.1,LOC124192483,protein MLP1-like isoform X3,,ENSP00000499222.1,,ENSMUSP00000130207.4,ENSDARP00000114621.1,XP_037875152.1,XP_021705248.1,1
g26992,414,1427,1512,1449,874,3454,442,6826,11496,Hr3,Hormone receptor 3,XP_046462645.1,LOC124208809,probable nuclear hormone receptor HR3 isoform X1,C01H6.5c.1,ENSP00000402971.2,XP_026301073.1,ENSMUSP00000109254.3,ENSDARP00000015111.9,XP_012551819.1,XP_021702101.1,2
g14412,187,2760,1950,3933,911,2776,2043,4879,11048,Gasp,Gasp,XP_046449897.1,LOC124198216,protein obstructor-E-like isoform X2,,,NP_001165860.1,,ENSDARP00000113926.2,NP_001040470.1,XP_001663971.1,2
g6128,4,103,137,233,321,748,10950,6122,4421,CG42342,0,XP_046442876.1,LOC124193208,uncharacterized protein LOC124193208,F54D8.1.1,ENSP00000359855.1,,,,,,1
g22736,1527,536,367,572,698,3390,4338,10488,9246,Gfat1,Glutamine:fructose-6-phosphate aminotransferase 1,XP_046456548.1,LOC124203761,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X4,F07A11.2b.1,ENSP00000253778.8,NP_001128421.1,ENSMUSP00000020629.5,ENSDARP00000074585.5,XP_004924656.1,XP_001660161.1,14
g9132,1318,381,292,1117,403,2169,3320,10462,5027,ftz-f1,ftz transcription factor 1,XP_046444174.1,LOC124194157,nuclear hormone receptor FTZ-F1-like isoform X2,F11C1.6a.2,ENSP00000439116.1,XP_006557455.1,ENSMUSP00000141645.2,ENSDARP00000105488.2,NP_001037528.2,XP_021697813.1,1
g722,216,4728,4466,3892,517,5335,518,8144,10307,CG2861,0,XP_046445757.1,LOC124195410,extensin-2-like,,,XP_006563366.1,,,,,2
g10773,3243,168,204,461,1561,2839,7968,10287,7826,PyK,Pyruvate kinase,,,,ZK593.1a.1,ENSP00000513903.1,XP_006566000.1,ENSMUSP00000128770.3,ENSDARP00000132638.1,XP_004931176.3,XP_021693729.1,1
g14016,0,455,1013,2066,628,667,1237,4565,10246,,,XP_046449524.1,LOC124197973,uncharacterized protein LOC124197973,,,,,,,,2
g26735,123,910,873,929,785,639,10114,5988,3902,Ten-m,Tenascin major,XP_046463519.1,LOC124209537,teneurin-a-like isoform X3,R13F6.4d.1,,,,,XP_012547287.2,XP_021710863.1,1
g13488,1,11,15,25,495,2922,784,9960,9394,CG10910,0,XP_046450004.1,LOC124198267,mucin-12-like isoform X2,F33E2.6.1,ENSP00000447752.1,XP_026295447.1,ENSMUSP00000098436.5,ENSDARP00000123517.1,,,2
g26764,443,144,125,124,290,1315,6605,9855,2655,Tdc2,Tyrosine decarboxylase 2,XP_046464194.1,LOC124209985,tyrosine decarboxylase-like,K01C8.3b.1,,XP_394424.2,,,XP_004924879.2,XP_021695643.1,1
g24794,20,218,367,1042,454,1650,8446,9619,7023,,,,,,,,,,,,,4
g9979,0,3,2,8,102,1061,9338,5156,3770,Sccpdh2,Saccheropin dehydrogenase 2,XP_046444698.1,LOC124194513,protein let-653-like,,,,,,,,1
g5871,242,878,880,549,690,1227,9243,6760,4658,tmod,tropomodulin,XP_046440125.1,LOC124191147,tropomodulin-like isoform X1,C06A5.7a.2,ENSP00000378637.2,XP_026298448.1,ENSMUSP00000103402.3,ENSDARP00000103325.3,XP_037868942.1,XP_021703171.1,1
g5465,49,355,245,146,131,513,4665,9237,8041,Eip74EF,Ecdysone-induced protein 74EF,XP_046438366.1,LOC124189898,ecdysone-induced protein 74EF-like isoform X7,C24A1.2a.1,ENSP00000426997.1,XP_006558442.1,ENSMUSP00000103686.2,ENSDARP00000036411.4,XP_037871545.1,,1
g7399,4,237,365,770,1185,1072,9062,7493,5555,grh,grainy head,XP_046442310.1,LOC124192856,protein grainyhead-like isoform X3,Y48G8AR.1a.1,ENSP00000384209.3,XP_006562179.1,ENSMUSP00000020985.9,ENSDARP00000144151.2,XP_012549305.2,XP_021698371.1,1
g6289,3451,1199,816,565,552,1243,9013,6133,7043,Lpin,Lipin,XP_046441309.1,LOC124192168,phosphatidate phosphatase LPIN3-like isoform X1,H37A05.1.1,ENSP00000362354.3,XP_393684.4,ENSMUSP00000119282.2,ENSDARP00000129564.1,XP_037867105.1,XP_021695358.1,1
g9444,1598,4769,3430,3321,2228,6205,4447,8672,8968,CG12163,0,XP_046444706.1,LOC124194522,uncharacterized protein LOC124194522,F41E6.6.1,ENSP00000310832.5,XP_392381.3,ENSMUSP00000112481.2,ENSDARP00000112297.1,XP_012544831.3,XP_021694158.1,14
g1254,1322,18,13,129,789,1455,8476,8901,5345,ClC-a,Chloride channel-a,XP_046448315.1,LOC124197079,chloride channel protein 2-like isoform X2,E04F6.11d.1,ENSP00000498052.2,XP_016771512.2,ENSMUSP00000007207.9,ENSDARP00000132004.2,XP_021204168.1,XP_021693331.1,4
g18382,86,471,407,606,778,916,8665,6589,5887,raskol,raskol,XP_046453923.1,LOC124201757,ras GTPase-activating protein raskol-like isoform X7,ZK899.8d.1,ENSP00000386183.3,XP_006568458.2,ENSMUSP00000108616.3,ENSDARP00000137041.2,XP_037871861.1,,4
g6458,128,446,318,193,132,197,8564,5569,6476,zfh1,Zn finger homeodomain 1,XP_046442753.1,LOC124193137,zinc finger protein 1-like isoform X3,F28F9.1.1,ENSP00000502467.1,XP_006557404.1,ENSMUSP00000076111.7,ENSDARP00000157629.1,XP_012550199.1,XP_021699347.1,14
g24422,50,143,147,296,299,308,8086,8512,7765,osp,outspread,XP_046461619.1,LOC124207993,uncharacterized protein LOC124207993 isoform X1,F10G8.8a.1,ENSP00000498253.1,XP_026295125.1,ENSMUSP00000071081.9,ENSDARP00000152828.1,XP_037869504.1,XP_021700243.1,14
g14336,1638,4590,4208,3243,3263,5915,5611,7924,5583,AIF,Apoptosis inducing factor,XP_046450086.1,LOC124198315,apoptosis-inducing factor 1%2C mitochondrial-like isoform X1,Y56A3A.32c.1,ENSP00000502184.1,XP_006563283.2,ENSMUSP00000041104.8,ENSDARP00000150687.1,XP_037871321.1,XP_021703282.1,14
g10471,25,1165,2147,3183,1820,4332,801,5334,7688,Skeletor,Skeletor,XP_046446127.1,LOC124195657,uncharacterized protein LOC124195657,W01C8.5a.1,,XP_016772039.1,,,XP_012551663.2,,2
g14120,129,613,779,1047,1146,680,7668,6268,4724,smash,smallish,XP_046450293.1,LOC124198484,uncharacterized protein LOC124198484 isoform X3,F28F5.3c.1,ENSP00000379840.3,XP_016770421.1,ENSMUSP00000112651.3,ENSDARP00000134427.1,XP_012553061.2,XP_021709569.1,14
g9509,4,69,91,535,375,3412,483,4472,7470,ChLD3,ChLD3,XP_046443399.1,LOC124193554,chitin deacetylase 1-like,C54G7.3f.1,,XP_026299908.1,,,XP_004931841.2,XP_001663269.2,1
g27053,56,233,216,306,456,1503,7464,4243,2479,Glut1,Glucose transporter 1,XP_046464293.1,LOC124210046,solute carrier family 2%2C facilitated glucose transporter member 1-like isoform X1,H17B01.1a.1,ENSP00000416293.2,XP_006557786.1,ENSMUSP00000030398.4,ENSDARP00000116768.2,XP_037869783.1,,4
g10484,286,821,801,527,559,436,7450,4981,4688,wge,winged eye,XP_046445930.1,LOC124195528,protein winged eye-like isoform X1,,ENSP00000502710.1,XP_026297757.1,ENSMUSP00000112784.2,ENSDARP00000147391.1,XP_037872928.1,XP_021705229.1,4
g19846,156,945,933,1105,1040,841,7153,7183,5036,wb,wing blister,XP_046455755.1,LOC124203150,laminin subunit alpha-1-like isoform X2,T22A3.8.1,ENSP00000480802.2,XP_026298062.1,ENSMUSP00000043957.8,ENSDARP00000135371.1,XP_037866526.1,XP_021700674.1,14
g20531,144,715,624,488,326,363,7106,3697,2726,Thd1,Thd1,XP_046457822.1,LOC124204732,uncharacterized protein LOC124204732 isoform X4,,ENSP00000376611.3,XP_006568813.2,ENSMUSP00000089917.5,ENSDARP00000134721.2,XP_037876965.1,,1
g3901,95,265,272,589,740,979,7056,6113,5232,Col4a1,Collagen type IV alpha 1,XP_046439481.1,LOC124190689,collagen alpha-1(XVIII) chain-like isoform X6,M199.5b.1,ENSP00000339118.5,XP_006564404.1,ENSMUSP00000080358.7,ENSDARP00000153703.1,XP_012551551.3,XP_021696143.1,14
g1173,33,14,9,78,210,244,6428,6744,4849,Nuak1,Nuak1 ortholog,XP_046441024.1,LOC124191954,serine-rich adhesin for platelets-like isoform X2,B0496.3a.2,ENSP00000261402.2,XP_016772411.1,ENSMUSP00000020220.9,ENSDARP00000129184.1,XP_037874685.1,XP_021705910.1,14
g6141,82,2811,3538,2471,2562,4046,1652,4668,6725,fabp,fatty acid binding protein,XP_046441366.1,LOC124192211,fatty acid-binding protein%2C heart-like,,,,,,,,1
g1433,65,164,162,532,1423,1577,6484,4827,2943,Pka-R2,"Protein kinase, cAMP-dependent, regulatory subunit type 2",XP_046442728.1,LOC124193101,cAMP-dependent protein kinase type II regulatory subunit-like,,ENSP00000394041.1,XP_392905.2,ENSMUSP00000035220.7,ENSDARP00000048675.7,XP_012549098.1,XP_021697686.1,4
g9424,69,802,1112,1728,2054,1207,4954,6434,5681,Pura,Puratrophin-1-like,XP_046444763.1,LOC124194558,uncharacterized protein LOC124194558 isoform X5,,ENSP00000283426.6,XP_026301158.1,ENSMUSP00000125249.3,ENSDARP00000147453.1,XP_037877821.1,,14
g9510,132,2931,3479,2074,2748,3317,820,6350,4911,mas,masquerade,XP_046443383.1,LOC124193548,protein masquerade-like isoform X1,,,XP_026301445.1,,,XP_004931455.1,XP_021707695.1,1
g1678,177,57,96,1161,1778,1073,6091,5065,3626,CG17816,0,XP_046455115.1,LOC124202750,microtubule-associated protein futsch-like isoform X1,,ENSP00000507100.1,XP_006570811.1,ENSMUSP00000127919.2,ENSDARP00000116078.2,XP_037876810.1,XP_021712673.1,4
g2420,1,216,340,296,214,96,6004,3474,1783,dac,dachshund,XP_046460747.1,LOC124207367,uncharacterized protein LOC124207367 isoform X3,B0412.1a.1,ENSP00000362223.1,XP_394482.4,ENSMUSP00000064970.8,ENSDARP00000008927.8,XP_021205755.1,XP_021703958.1,14
g902,400,1009,537,2182,571,2056,351,1427,5818,CG15570,0,XP_046446343.1,LOC124195794,probable LIM domain-containing serine/threonine-protein kinase DDB_G0286997 isoform X2,,,XP_026299562.1,,,XP_004929162.1,XP_021700659.1,2
g17302,229,788,682,414,269,224,5642,3374,2559,pyd,polychaetoid,XP_046452173.1,LOC124200110,tight junction protein ZO-1-like isoform X4,Y105E8A.26d.1,ENSP00000281537.7,XP_026296877.1,ENSMUSP00000146149.2,ENSDARP00000112709.1,XP_012550287.1,XP_021706854.1,1
g11967,102,522,502,741,1021,1019,5573,3688,3864,,,,,,C26H9A.1b.1,,,,ENSDARP00000130268.1,,,1
g531,7,3,1,2,42,4175,3099,2619,5563,,,XP_046450106.1,LOC124198327,trypsin-1-like isoform X1,,,,,,,,3
g1468,12,55,65,108,135,48,2520,5421,2574,,,,,,,,,,,,,14
g11115,34,315,321,1163,964,2440,3951,2890,5420,Ppn,Papilin,XP_046447401.1,LOC124196387,papilin-like,C37C3.6b.1,ENSP00000233156.3,,ENSMUSP00000107351.2,,,,14
g26842,85,358,393,648,812,870,5386,4368,4455,Cad96Ca,Cadherin 96Ca,XP_046463639.1,LOC124209619,proline-rich receptor-like protein kinase PERK12 isoform X2,F58A3.2b.1,,XP_026299952.1,,,XP_037874706.1,,14
g13911,26,90,111,87,46,191,3944,5367,3696,Svil,Supervillin,,,,,,XP_006561669.2,ENSMUSP00000133054.2,,XP_012550471.2,XP_021696386.1,14
g17052,28,6,8,73,344,444,5308,3199,1919,unc80,uncoordinated 80,XP_046453316.1,LOC124200954,protein unc-80 homolog isoform X3,F25C8.3c.1,ENSP00000501211.1,XP_026299991.1,ENSMUSP00000053692.10,ENSDARP00000154236.1,XP_037867407.1,XP_021708233.1,1
g10549,94,252,222,216,246,327,5300,4703,3535,Snoo,Sno oncogene,XP_046446452.1,LOC124195873,ski oncogene-like,,ENSP00000367797.4,,ENSMUSP00000030917.6,ENSDARP00000094325.4,XP_037875945.1,,1
g8286,219,892,860,1240,177,689,1009,2521,5253,CG5639,0,XP_046444139.1,LOC124194125,uncharacterized protein LOC124194125,C08G9.2.1,ENSP00000409177.1,XP_001120452.2,ENSMUSP00000107346.4,,XP_012545066.1,XP_021713223.1,2
g16753,34,1193,2035,2356,758,3871,213,4089,5146,dyl,dusky-like,XP_046451923.1,LOC124199918,uncharacterized protein LOC124199918,F53F1.1.1,,XP_026298997.1,,,XP_012549213.2,XP_021705905.1,3
g27077,32,147,129,153,179,298,5094,3908,3061,Camta,Calmodulin-binding transcription activator,XP_046462914.1,LOC124209092,calmodulin-binding transcription activator 2-like isoform X4,T05C1.4a.1,ENSP00000514979.1,XP_026300627.1,ENSMUSP00000095381.3,ENSDARP00000126402.1,XP_037868467.1,XP_021696357.1,14
g23106,1955,696,566,1284,1281,3477,2367,5087,3889,,,,,,,ENSP00000405573.3,,,,,,14
g17424,0,2,1,373,1372,2759,265,2027,5083,CG14515,0,XP_046451952.1,LOC124199934,reelin domain-containing protein 1-like,,ENSP00000510273.1,XP_003249096.1,,,XP_012544025.1,XP_001662708.2,14
g10362,652,490,691,983,1646,1703,4860,4466,5070,Dys,Dystrophin,XP_046447087.1,LOC124196233,serine/arginine repetitive matrix protein 2-like isoform X1,F41G3.3b.1,,XP_006562413.1,,,XP_012545642.3,XP_021707864.1,14
g24013,1,14,6,32,95,243,4947,4182,4617,CG42342,0,,,,,ENSP00000244728.5,,,ENSDARP00000142178.1,,,14
g8503,46,654,1175,2149,360,654,271,2216,4903,Cht5,Chitinase 5,XP_046443319.1,LOC124193507,endochitinase-like,,ENSP00000356198.1,XP_026296938.1,,,NP_001037480.1,XP_001656234.1,2
g2088,174,2040,2031,1783,1388,1949,4441,4113,4903,CdGAPr,Cd GTPase activating protein-related,XP_046454088.1,LOC124201879,rho GTPase-activating protein 12-like isoform X3,C38D4.5a.1,ENSP00000295095.6,,ENSMUSP00000056461.7,ENSDARP00000132429.1,XP_037872333.1,,4
g1896,150,528,563,321,540,228,4859,4163,3022,a,arc,XP_046437030.1,LOC124188441,uncharacterized protein LOC124188441 isoform X1,,,,,ENSDARP00000077950.5,XP_021206205.1,XP_001660400.1,4
g9171,15,119,113,69,297,1223,799,1847,4772,Cad89D,Cadherin 89D,XP_046444552.1,LOC124194416,cadherin-89D-like,,,XP_006558170.2,,ENSDARP00000014029.8,XP_037867488.1,,14
g27043,140,830,887,811,803,952,4767,3872,2932,CG7029,0,XP_046464283.1,LOC124210039,uncharacterized protein LOC124210039 isoform X5,K10D3.2.1,ENSP00000393922.1,XP_016767337.1,ENSMUSP00000118528.3,ENSDARP00000113579.1,XP_037867662.1,XP_021697736.1,1
g14325,1145,207,247,385,733,1703,4754,3200,2127,CG9547,0,XP_046450453.1,LOC124198590,glutaryl-CoA dehydrogenase%2C mitochondrial-like,F54D5.7.1,ENSP00000222214.4,XP_393736.3,ENSMUSP00000105367.2,ENSDARP00000148833.1,XP_004932115.2,XP_001649622.2,4
g26774,7,68,122,590,563,501,4749,3442,2773,CG17732,0,XP_046463461.1,LOC124209497,uncharacterized protein LOC124209497,,,,,,XP_037866805.1,XP_021713378.1,14
g20022,6,28,32,677,3239,2183,915,4729,3635,CG43366,0,XP_046457536.1,LOC124204500,uncharacterized protein LOC124204500 isoform X1,,,XP_026301178.1,,,XP_004932704.2,XP_021699724.1,14
g3483,251,10,15,20,19,337,3742,3668,4710,Achl,Achilles,XP_046460119.1,LOC124206563,la-related protein 6-like,,ENSP00000299213.7,XP_006557512.1,,ENSDARP00000019822.6,XP_004933542.1,XP_001650112.2,14
g6780,61,453,523,590,743,429,4709,4160,3265,esn,espinas,XP_046442245.1,LOC124192798,protein prickle-like isoform X1,ZK381.5a.1,ENSP00000455004.2,XP_026302127.1,ENSMUSP00000109072.2,ENSDARP00000146432.1,XP_021203675.1,XP_021695988.1,1
g11876,223,1910,2129,2364,2940,1761,4665,4182,4708,,,,,,Y47D3B.7.1,,,,,,,14
g14306,70,150,99,242,94,636,270,1701,4669,Hr4,Hormone receptor 4,XP_046447791.1,LOC124196679,serine-rich adhesin for platelets-like isoform X1,Y15E3A.1a.3,ENSP00000420587.1,XP_026295282.1,ENSMUSP00000121234.2,ENSDARP00000130860.1,XP_012547755.2,XP_001651524.3,2
g9314,333,134,141,54,39,195,4561,3456,1303,CAH9,Carbonic anhydrase 9,XP_046444839.1,LOC124194614,carbonic anhydrase 2-like,R173.1.1,ENSP00000285379.4,XP_003249463.1,ENSMUSP00000036983.9,ENSDARP00000134317.1,XP_004922913.1,,4
g349,1392,455,322,195,194,710,4519,2367,2300,vis,vismay,XP_046438464.1,LOC124189987,iroquois-class homeodomain protein IRX-5-like isoform X2,,ENSP00000483499.1,XP_026296439.1,ENSMUSP00000124168.3,ENSDARP00000124837.1,XP_004929335.2,XP_001653660.2,1
g11863,595,1582,1411,981,989,888,4502,4123,4063,,,,,,F09F7.3.1,,,,,,,14
g22625,3,0,0,0,1,339,3843,1368,4500,CG10472,0,XP_046456355.1,LOC124203656,brachyurin-like,ZK546.15.1,ENSP00000458537.2,,ENSMUSP00000034368.7,ENSDARP00000073267.3,,XP_001659051.1,2
g26646,56,1869,2528,2373,1085,1949,1149,3269,4331,pwn,pawn,XP_046462145.1,LOC124208461,uncharacterized protein LOC124208461 isoform X1,,ENSP00000384789.2,XP_006558559.1,,ENSDARP00000142312.1,XP_037872708.1,XP_001653566.2,2
g2665,1890,515,634,1864,1078,2035,3762,3785,4307,,,XP_046459025.1,LOC124205607,ATP-citrate synthase-like,D1005.1.1,ENSP00000377474.1,XP_623083.1,ENSMUSP00000127632.2,ENSDARP00000131909.1,XP_037875620.1,XP_021701092.1,14
g24280,640,262,265,251,554,610,4286,3343,2508,sky,skywalker,XP_046461838.1,LOC124208156,GTPase-activating protein skywalker-like isoform X1,C31H2.1c.2,ENSP00000494678.1,XP_006568039.1,ENSMUSP00000143949.2,ENSDARP00000152580.1,XP_012548420.1,XP_021701793.1,1
g13642,1,15,20,333,429,541,3167,4217,4139,CG41520,0,XP_046450881.1,LOC124198861,uncharacterized protein YMR317W-like,T15B7.1.1,ENSP00000314897.5,XP_026297262.1,ENSMUSP00000033846.6,ENSDARP00000127788.1,XP_004933130.1,XP_021701837.1,14
g22448,245,950,937,1082,354,930,289,3483,4212,Blimp-1,Blimp-1,XP_046459518.1,LOC124205959,serine/arginine repetitive matrix protein 1-like,F25D7.3b.1,ENSP00000358085.3,XP_026299174.1,ENSMUSP00000101129.3,ENSDARP00000004889.5,XP_021207484.2,XP_021697780.1,2
g770,2432,630,436,48,1206,2869,629,4195,3710,Fs(2)Ket,Female sterile (2) Ketel,XP_046445136.1,LOC124194794,importin subunit beta-1-like,F28B3.8.2,,,,,,,14
g12109,0,2,3,20,71,1150,43,1198,4189,Cyp4c3,Cytochrome P450-4c3,XP_046450541.1,LOC124198638,cytochrome P450 4c3-like,,,,,,,,14
g22915,0,6,3,7,80,890,471,2020,4164,salto,salto,XP_046456779.1,LOC124203928,protein piccolo-like isoform X2,,ENSP00000441337.1,,ENSMUSP00000123803.2,,,XP_021702134.1,2
g10460,300,1133,891,447,667,563,2990,4128,3015,ck,crinkled,XP_046447605.1,LOC124196527,myosin-VIIa-like isoform X1,T10H10.1.1,ENSP00000392185.2,XP_026296538.1,ENSMUSP00000102744.2,ENSDARP00000143601.2,XP_037877677.1,XP_021703058.1,14
g5545,316,1120,906,650,713,735,4113,3425,2724,CG8370,0,XP_046440564.1,LOC124191410,transmembrane protein 131-like,C27F2.8.1,ENSP00000186436.5,XP_003250102.3,ENSMUSP00000027290.6,ENSDARP00000073126.3,XP_037871192.1,XP_001651750.1,1
g12229,2753,771,583,339,571,622,4101,3383,2211,CG31678,0,XP_046448676.1,LOC124197338,SUN domain-containing ossification factor-like isoform X1,,ENSP00000477484.2,,ENSMUSP00000044815.6,ENSDARP00000157097.1,,,1
